Value	*Item Searched	Item	Description	MPN	Manufacturer	Vendor PN	Vendor					Category	Type	Location	Location 2	Quantity	Search		
1000pF	H102K25X7RL63J5R	H102K25X7RL63J5R												Euler 229 Teaching Lab	A16B	50	H102K25X7RL63J5R		
1000pF	K102K15X7RF5TL2	K102K15X7RF5TL2												Euler 229 Teaching Lab	A16B	50	K102K15X7RF5TL2		
0.1uF	K104K15X7RF53H5	K104K15X7RF53H5												Euler 229 Teaching Lab	A16B	50	K104K15X7RF53H5		
	LF-5WAEMBGMBC	LF-5WAEMBGMBC												Euler 229 Teaching Lab	A16C	20	LF-5WAEMBGMBC		
	LM358AP	LM358AP												Euler 229 Teaching Lab	A16D	20	LM358AP		
	LM4040D25ILPR	LM4040D25ILPR												Euler 229 Teaching Lab	A16D	1	LM4040D25ILPR		
	LM78L05ACZX	LM78L05ACZX												Euler 229 Teaching Lab	A16D	10	LM78L05ACZX		
	LTL2R3KRD-EM	LTL2R3KRD-EM												Euler 229 Teaching Lab	A16C	50	LTL2R3KRD-EM		
	LTL2R3KYD-EM	LTL2R3KYD-EM												Euler 229 Teaching Lab	A16C	15	LTL2R3KYD-EM		
1	MF1/4DC1R00F	MF1/4DC1R00F												Euler 229 Teaching Lab	A16A	50	MF1/4DC1R00F		
10	MFR-25FBF52-10R	603-MFR-25FBF52-10R												Euler 229 Teaching Lab	A16A	100	603-MFR-25FBF52-10R		
20k	MFR-25FRF52-20K	MFR-25FRF52-20K												Euler 229 Teaching Lab	A16A	50	MFR-25FRF52-20K		
	MJE3055TTU	MJE3055TTU												Euler 229 Teaching Lab	A16D	5	MJE3055TTU		
	PJ-102AH	PJ-102AH												Euler 229 Teaching Lab	A16D	10	PJ-102AH		
100pF	RDE5C2A101J0M1H03A	RDE5C2A101J0M1H03A												Euler 229 Teaching Lab	A16B	20	RDE5C2A101J0M1H03A		
1uF	REA010M2CBK-0511P	REA010M2CBK-0511P												Euler 229 Teaching Lab	A16B	20	REA010M2CBK-0511P		
100uF	REA101M1EBK-0611P	REA101M1EBK-0611P												Euler 229 Teaching Lab	A16B	15	REA101M1EBK-0611P		
100uF	REA101M1HBK-0811P	REA101M1HBK-0811P												Euler 229 Teaching Lab	A16B	25	REA101M1HBK-0811P		
4.7uF	RGA4R7M1HBK-0511G	RGA4R7M1HBK-0511G												Euler 229 Teaching Lab	A16B	25	RGA4R7M1HBK-0511G		
	SLX-LX5093GD	SLX-LX5093GD												Euler 229 Teaching Lab	A16C	15	SLX-LX5093GD		
	SN74HC00N	SN74HC00N												Euler 229 Teaching Lab	A16C	10	SN74HC00N		
	SN74HC02N	SN74HC02N												Euler 229 Teaching Lab	A16C	10	SN74HC02N		
	SN74HC244N	SN74HC244N												Euler 229 Teaching Lab	A16C	10	SN74HC244N		
	SPX1117M3-L-3-3/TR	SPX1117M3-L-3-3/TR												Euler 229 Teaching Lab	A16D	10	SPX1117M3-L-3-3/TR		
	SSL-LX5093USBD	SSL-LX5093USBD												Euler 229 Teaching Lab	A16C	25	SSL-LX5093USBD		
	T73XW203KT20	T73XW203KT20												Euler 229 Teaching Lab	A16A	10	T73XW203KT20		
	TL1105FF100Q	TL1105FF100Q												Euler 229 Teaching Lab	A16D	50	TL1105FF100Q		
	TL431CZ-AP	TL431CZ-AP												Euler 229 Teaching Lab	A16D	10	TL431CZ-AP		
2200uF	UPW1A222MHD	UPW1A222MHD												Euler 229 Teaching Lab	A16B		UPW1A222MHD		
15uF	USF1V150MDD	USF1V150MDD												Euler 229 Teaching Lab	A16B	20	USF1V150MDD		
470uF	UVR1E471MPD	UVR1E471MPD												Euler 229 Teaching Lab	A16B	10	UVR1E471MPD		
.22uF	UVR1HR22MDD	UVR1HR22MDD												Euler 229 Teaching Lab	A16B	2	UVR1HR22MDD		
